PDF Name,URL,Category,Total Traffic,Priority Tier,Axes Audit Status,Date Audited,PDF/ UA Reults,WCAG Reults,Link to Audit report,PDF/UA Notes,WCAG Notes,Remediation Status,Adobe Acrobat Audit Status,Remediation Notes,Re-test Result,Link to Audit report,3rd Re-test Result,Link to Audit report
business-notice-account-additional-conditions ( (Managing Service Guide ?),Open PDF,Campaigns,211,Tier 2,Complete,31/03/2026,Pass,Pass,https://check.axes4.com/en/result/a4850f63-80ba-4e26-9516-698c8bbcd165,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Business Banking Terms And Conditions,Open PDF,General,203,Tier 2,Complete,31/03/2026,Fail,Fail,https://check.axes4.com/en/result/2d2a1e2f-3232-4dd5-a162-7040790e33d0,"1 structure element using incorrect tag type
6 structure tree warnings
2 role mapping failures","2 structure/tagging failures (1.3 Adaptable)
5 colour contrast failures (1.4 Distinguishable)",Not Started,Not Started,,,,,
Invoice Discounting Brochure,Open PDF,Products,201,Tier 2,Complete,31/03/2026,Partial,Partial,https://check.axes4.com/en/result/956f7ecf-215d-40b9-8d16-6c83f064d523,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
Business Deposit Account,Open PDF,Generic,193,Tier 2,Complete,31/03/2026,Pass,Pass,https://check.axes4.com/en/result/f2953b34-e1a6-4d93-84ff-86ab79524748,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Rfb1085 Financial Services Compensation Scheme Information Sheet,Open PDF,Generic,191,Tier 2,Complete,31/03/2026,Pass,Pass,https://check.axes4.com/en/result/defc63a3-1548-4931-aa29-2e16f88068dc,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Business Money Manager Additional Conditions,Open PDF,Products,187,Tier 2,Complete,31/03/2026,Pass,Pass,https://check.axes4.com/en/result/5fe338c3-8d49-47a8-af65-7857e3e1b660,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Receive Aus Factsheet Global Wallet,Open PDF,Solutions,186,Tier 2,Blocked,31/03/2026,Partial,Partial,https://check.axes4.com/en/result/e11bbebf-9bfa-4bcc-8b3c-c58a9c029634,"Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",,Not Started,Not Started,,,,,
Business Money Manager,Open PDF,Regulations,183,Tier 2,Complete,31/03/2026,Pass,Pass,https://check.axes4.com/en/result/feb50726-5c95-4f56-81ff-f0e345db45c1,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Business Money Market Account Additional Condition,Open PDF,General,178,Tier 2,Complete,31/03/2026,Pass,Pass,https://check.axes4.com/en/result/81a41f34-6d0c-432d-950f-be116833a05f,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
Additional Partners Trustees Executors Administrators Of Deceased Estates,Open PDF,Forms,177,Tier 2,Complete,31/03/2026,Pass,Pass,https://check.axes4.com/en/result/63a518e0-edc0-4f5f-a864-67fda4985e5d,The file meets all machine-verifiable PDF/UA requirements.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,Not Started,Not Started,,,,,
